affiliation_name;state_name;affiliation_country;citied_by
inhauniversity;incheon;southkorea;322
nankaiuniversity;tianjin;china;230
maxplanckinstituteforhumandevelopment;berlin;germany;225
rad-aidinternational;maryland;unitedstates;200
universityofwaterloo;ontario;canada;190
linkopingsuniversitet;ostergotland;sweden;167
ncstateuniversity;northcarolina;unitedstates;160
indianinstituteoftechnologydelhi;delhi;india;143
queenslanduniversityoftechnology;queensland;australia;132
ethzurich;zurich;switzerland;88
collegeofengineering;texas;unitedstates;75
samsungmedicalcenter,sungkyunkwanuniversity;seoul;southkorea;75
universitatheidelberg;baden-wurttemberg;germany;69
lundsuniversitet;skane;sweden;68
universityofexeter;devon;unitedkingdom;55
heinrich-heine-universitatdusseldorf;nordrhein-westfalen;germany;47
simmonsuniversity;massachusetts;unitedstates;44
lincolnuniversitycollege,malaysia;selangor;malaysia;43
universityofoxford;oxfordshire;unitedkingdom;42
indianinstituteoftechnologymadras;tamilnadu;india;41
xidianuniversity;shaanxi;china;36
universiteittwente;overijssel;netherlands;36
universityofsharjah;sharjah;unitedarabemirates;31
leuphanauniversitatluneburg;niedersachsen;germany;28
helsinginyliopisto;uusimaa;finland;27
universidaddistritalfranciscojosedecaldas;bogota;colombia;20
monashuniversity;victoria;australia;18
collegeofengineering;michigan;unitedstates;18
sher-e-kashmiruniversityofagriculturalsciencesandtechnologyofjammu;jammuandkashmir;india;15
nanjinguniversity;jiangsu;china;14
wuhanuniversity;hubei;china;13
globalenergyinterconnectionresearchinstitutenorthamerica;california;unitedstates;13
northwestportlandareaindianhealthboard;oregon;unitedstates;13
oakridgenationallaboratory;tennessee;unitedstates;12
luddyschoolofinformatics,computing,andengineering;indiana;unitedstates;11
universityoffloridainstituteoffoodandagriculturalsciences;florida;unitedstates;10
theuniversityofoklahoma;oklahoma;unitedstates;10
universitedelausanne(unil);vaud;switzerland;10
universityofderby;derbyshire;unitedkingdom;8
dattameghecollegeofengineering;maharashtra;india;7
ecolesuperieuremultinationaledestelecommunications;dakar;senegal;6
kingfaisaluniversity;ashsharqiyah;saudiarabia;6
informationengineeringuniversitychina;henan;china;6
altinbasuniversitesi;istanbul;turkey;6
universityofcoloradodenver;colorado;unitedstates;5
ahmadubellouniversity;kaduna;nigeria;5
akitainternationaluniversity;akita;japan;5
beijinguniversityoftechnology;beijing;china;4
kanazawagakuinuniversity;ishikawa;japan;4
gottfriedwilhelmleibnizuniversitathannover;niedersachsen;germany;4
kldeemedtobeuniversity;andhrapradesh;india;3
infosysltd.;karnataka;india;2
hangzhoucityuniversity;zhejiang;china;2
kyungpooknationaluniversity(knu);daegu;southkorea;2
st.francisxavieruniversity;novascotia;canada;2
tianjinuniversity;tianjin;china;2
wenzhou-keanuniversity;zhejiang;china;1
collegeofengineering;ohio;unitedstates;1
czestochowauniversityoftechnology;silesian;poland;1
greenuniversityofbangladesh;dhaka;bangladesh;1
millikinuniversity;illinois;unitedstates;1
universitassyiahkuala;aceh;indonesia;1
kalingainstituteofindustrialtechnology,bhubaneswar;odisha;india;1
tamilnadunationallawuniversity;tamilnadu;india;1
molinarolicollegeofengineeringandcomputing;southcarolina;unitedstates;1
nanfangcollegeofsunyet-senuniversity;guangdong;china;1
hpinc.;;ireland;0
pentecostuniversitycollege;greateraccra;ghana;0
universityofcincinnati;ohio;unitedstates;0
fujianuniversityoftechnology;fujian;china;0
arizonastateuniversity;arizona;unitedstates;0
psgcollegeoftechnology;tamilnadu;india;0
angliaruskinuniversity;cambridgeshire;unitedkingdom;0
nankaiuniversitybusinessschool;tianjin;china;0
